bin_start,bin_end,repeat,low_confidence,blank
0.0,0.04,0.8688831318364997,0.05109383995394358,0.0800230282095567
0.04,0.08,0.6119402985074627,0.028358208955223882,0.3597014925373134
0.08,0.12,0.5755131964809385,0.032991202346041054,0.3914956011730205
0.12,0.16,0.4431818181818182,0.01818181818181818,0.5386363636363637
0.16,0.2,0.3612679114198871,0.014329135909683021,0.6244029526704299
0.2,0.24,0.30345800988002825,0.011997177134791814,0.68454481298518
0.24,0.28,0.2973944294699012,0.008086253369272238,0.6945193171608266
0.28,0.32,0.31995412844036697,0.006594036697247707,0.6734518348623854
0.32,0.36,0.3291272344900105,0.0057833859095688745,0.6650893796004206
0.36,0.4,0.33903345724907064,0.004956629491945477,0.656009913258984
0.4,0.44,0.3606010016694491,0.0028619127116622945,0.6365370856188887
0.44,0.48,0.3681765389082462,0.005110336817653891,0.6267131242740999
0.48,0.52,0.37720090293453723,0.004966139954853273,0.6178329571106095
0.52,0.56,0.380806310254163,0.004601226993865031,0.614592462751972
0.56,0.6,0.3885350318471338,0.0032945310784098397,0.6081704370744564
0.6,0.64,0.3834650715659047,0.003204443494979705,0.6133304849391156
0.64,0.68,0.3598652347862708,0.00505369551484523,0.635081069698884
0.68,0.72,0.3451181911613566,0.005549845837615622,0.6493319630010278
0.72,0.76,0.3102409638554217,0.004618473895582329,0.685140562248996
0.76,0.8,0.24011627906976743,0.009883720930232558,0.75
0.8,0.84,0.18317200297840655,0.008935219657483246,0.8078927773641102
0.84,0.88,0.11637694419030192,0.008234217749313814,0.8753888380603843
0.88,0.92,0.0524370930846384,0.010733767376385712,0.9368291395389758
0.92,0.96,0.02211387776423472,0.012014626501828312,0.9658714957339369
0.96,inf,0.013667852462085751,0.01722523871934095,0.9691069088185733
