delay,state
2.7  ,"[[5, 0, 4, 4, 5, 5], [4, 4, 4, 4, 4, 4]]"
2.7  ,"[[5, 2, 4, 4, 5, 5], [4, 4, 4, 4, 4, 4]]"
2.7  ,"[[3, 3, 3, 0, 0, 0], [5, 2, 4, 4, 5, 5], [4, 4, 4, 4, 4, 4]]"
2.7  ,"[[5, 2, 4, 4, 5, 5], [4, 4, 4, 4, 4, 4]]"
2.7  ,"[[0, 2, 4, 4, 5, 5], [4, 4, 4, 4, 4, 4]]"
2.7  ,"[[0, 2, 4, 4, 0, 0], [4, 4, 4, 4, 4, 4]]"
2.7  ,"[[0, 2, 0, 0, 0, 0], [4, 4, 4, 4, 4, 4]]"
2.7  ,"[[4, 4, 4, 4, 4, 4]]"
0.6  ,"[[0, 0, 2, 2, 0, 0], [4, 4, 4, 4, 4, 4]]"
0.6  ,"[[4, 4, 4, 4, 4, 4]]"
0.6  ,"[[0, 0, 3, 3, 3, 3], [4, 4, 4, 4, 4, 4]]"
0.6  ,"[[2, 2, 3, 3, 3, 3], [4, 4, 4, 4, 4, 4]]"
0.6  ,"[[0, 0, 3, 3, 3, 3], [4, 4, 4, 4, 4, 4]]"
0.6  ,"[[2, 0, 3, 3, 3, 3], [4, 4, 4, 4, 4, 4]]"
0.6  ,"[[2, 5, 3, 3, 3, 3], [4, 4, 4, 4, 4, 4]]"
0.6  ,"[[0, 0, 5, 5, 5, 0], [2, 5, 3, 3, 3, 3], [4, 4, 4, 4, 4, 4]]"
0.6  ,"[[2, 5, 3, 3, 3, 3], [4, 4, 4, 4, 4, 4]]"
0.6  ,"[[2, 5, 0, 0, 0, 0], [4, 4, 4, 4, 4, 4]]"
0.6  ,"[[0, 5, 0, 0, 0, 0], [4, 4, 4, 4, 4, 4]]"
0.6  ,"[[4, 4, 4, 4, 4, 4]]"
0.0  ,"[[0, 0, 3, 3, 3, 0], [4, 4, 4, 4, 4, 4]]"
0.0  ,"[[5, 5, 3, 3, 3, 0], [4, 4, 4, 4, 4, 4]]"
0.0  ,"[[0, 0, 3, 3, 3, 0], [4, 4, 4, 4, 4, 4]]"
0.0  ,"[[4, 4, 4, 4, 4, 4]]"
1.65 ,"[[0, 4, 0, 0, 0, 0], [4, 4, 4, 4, 4, 4]]"
1.65 ,"[[0, 4, 0, 2, 2, 0], [4, 4, 4, 4, 4, 4]]"
1.65 ,"[[4, 4, 0, 2, 2, 0], [4, 4, 4, 4, 4, 4]]"
1.65 ,"[[4, 4, 0, 2, 2, 2], [4, 4, 4, 4, 4, 4]]"
1.65 ,"[[4, 4, 0, 2, 2, 0], [4, 4, 4, 4, 4, 4]]"
1.65 ,"[[4, 4, 0, 0, 0, 0], [4, 4, 4, 4, 4, 4]]"
1.65 ,"[[0, 4, 0, 0, 0, 0], [4, 4, 4, 4, 4, 4]]"
1.65 ,"[[4, 4, 4, 4, 4, 4]]"
1.125,"[[0, 0, 5, 5, 0, 0], [4, 4, 4, 4, 4, 4]]"
1.125,"[[0, 0, 5, 5, 2, 2], [4, 4, 4, 4, 4, 4]]"
1.125,"[[0, 0, 5, 5, 0, 0], [4, 4, 4, 4, 4, 4]]"
1.125,"[[4, 4, 4, 4, 4, 4]]"
1.125,"[[2, 2, 2, 2, 2, 2], [4, 4, 4, 4, 4, 4]]"
1.125,"[[0, 0, 0, 4, 4, 4], [2, 2, 2, 2, 2, 2], [4, 4, 4, 4, 4, 4]]"
1.125,"[[0, 4, 4, 4, 4, 4], [2, 2, 2, 2, 2, 2], [4, 4, 4, 4, 4, 4]]"
1.125,"[[4, 4, 4, 4, 4, 4], [2, 2, 2, 2, 2, 2], [4, 4, 4, 4, 4, 4]]"
1.125,"[[4, 0, 0, 4, 4, 4], [2, 2, 2, 2, 2, 2], [4, 4, 4, 4, 4, 4]]"
1.125,"[[4, 0, 0, 0, 0, 0], [2, 2, 2, 2, 2, 2], [4, 4, 4, 4, 4, 4]]"
1.125,"[[2, 2, 2, 2, 2, 2], [4, 4, 4, 4, 4, 4]]"
1.125,"[[4, 4, 4, 4, 4, 4]]"
2.7  ,"[[0, 0, 4, 0, 0, 0], [4, 4, 4, 4, 4, 4]]"
2.7  ,"[[3, 3, 4, 0, 0, 0], [4, 4, 4, 4, 4, 4]]"
2.7  ,"[[3, 3, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4]]"
2.7  ,"[[0, 0, 5, 5, 5, 5], [3, 3, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4]]"
2.7  ,"[[3, 3, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4]]"
2.7  ,"[[0, 0, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4]]"
2.7  ,"[[0, 0, 0, 4, 4, 4], [4, 4, 4, 4, 4, 4]]"
2.7  ,"[[4, 4, 4, 4, 4, 4]]"
3.0  ,"[[0, 0, 0, 0, 0, 2], [4, 4, 4, 4, 4, 4]]"
3.0  ,"[[4, 4, 4, 4, 0, 2], [4, 4, 4, 4, 4, 4]]"
3.0  ,"[[4, 4, 4, 4, 4, 2], [4, 4, 4, 4, 4, 4]]"
3.0  ,"[[0, 4, 4, 4, 4, 0], [4, 4, 4, 4, 4, 2], [4, 4, 4, 4, 4, 4]]"
3.0  ,"[[5, 4, 4, 4, 4, 0], [4, 4, 4, 4, 4, 2], [4, 4, 4, 4, 4, 4]]"
3.0  ,"[[0, 4, 4, 4, 4, 0], [4, 4, 4, 4, 4, 2], [4, 4, 4, 4, 4, 4]]"
3.0  ,"[[0, 4, 4, 4, 4, 2], [4, 4, 4, 4, 4, 2], [4, 4, 4, 4, 4, 4]]"
3.0  ,"[[0, 4, 4, 4, 4, 0], [4, 4, 4, 4, 4, 2], [4, 4, 4, 4, 4, 4]]"
