delay,state
3.0  ,"[[4, 4, 4, 4, 4, 2], [4, 4, 4, 4, 4, 4]]"
3.0  ,"[[4, 4, 4, 4, 0, 2], [4, 4, 4, 4, 4, 4]]"
3.0  ,"[[4, 4, 4, 4, 0, 0], [4, 4, 4, 4, 4, 4]]"
3.0  ,"[[4, 4, 4, 4, 4, 4]]"
2.175,"[[0, 0, 2, 2, 2, 0], [4, 4, 4, 4, 4, 4]]"
2.175,"[[4, 4, 2, 2, 2, 0], [4, 4, 4, 4, 4, 4]]"
2.175,"[[0, 0, 2, 2, 2, 0], [4, 4, 4, 4, 4, 4]]"
2.175,"[[4, 4, 4, 4, 4, 4]]"
0.6  ,"[[0, 3, 3, 0, 0, 0], [4, 4, 4, 4, 4, 4]]"
0.6  ,"[[4, 4, 4, 4, 4, 4]]"
0.6  ,"[[0, 0, 0, 0, 4, 4], [4, 4, 4, 4, 4, 4]]"
0.6  ,"[[4, 4, 4, 4, 4, 4]]"
0.0  ,"[[0, 5, 5, 0, 0, 0], [4, 4, 4, 4, 4, 4]]"
0.0  ,"[[4, 4, 4, 4, 4, 4]]"
0.0  ,"[[0, 2, 2, 0, 0, 0], [4, 4, 4, 4, 4, 4]]"
0.0  ,"[[0, 2, 2, 3, 0, 0], [4, 4, 4, 4, 4, 4]]"
0.0  ,"[[0, 2, 2, 3, 2, 0], [4, 4, 4, 4, 4, 4]]"
0.0  ,"[[0, 2, 2, 3, 0, 0], [4, 4, 4, 4, 4, 4]]"
0.0  ,"[[0, 0, 0, 3, 0, 0], [4, 4, 4, 4, 4, 4]]"
0.0  ,"[[4, 4, 4, 4, 4, 4]]"
2.7  ,"[[0, 4, 4, 0, 0, 0], [4, 4, 4, 4, 4, 4]]"
2.7  ,"[[2, 4, 4, 0, 0, 0], [4, 4, 4, 4, 4, 4]]"
2.7  ,"[[0, 4, 4, 0, 0, 0], [4, 4, 4, 4, 4, 4]]"
2.7  ,"[[4, 4, 4, 4, 4, 4]]"
0.0  ,"[[0, 0, 0, 0, 0, 2], [4, 4, 4, 4, 4, 4]]"
0.0  ,"[[0, 0, 0, 3, 3, 2], [4, 4, 4, 4, 4, 4]]"
0.0  ,"[[0, 4, 4, 3, 3, 2], [4, 4, 4, 4, 4, 4]]"
0.0  ,"[[0, 4, 4, 3, 3, 0], [4, 4, 4, 4, 4, 4]]"
0.0  ,"[[3, 4, 4, 3, 3, 0], [4, 4, 4, 4, 4, 4]]"
0.0  ,"[[3, 4, 4, 3, 3, 2], [4, 4, 4, 4, 4, 4]]"
0.0  ,"[[0, 5, 5, 5, 0, 0], [3, 4, 4, 3, 3, 2], [4, 4, 4, 4, 4, 4]]"
0.0  ,"[[3, 4, 4, 3, 3, 2], [4, 4, 4, 4, 4, 4]]"
0.0  ,"[[3, 4, 4, 3, 3, 0], [4, 4, 4, 4, 4, 4]]"
0.0  ,"[[3, 4, 4, 0, 0, 0], [4, 4, 4, 4, 4, 4]]"
0.0  ,"[[0, 4, 4, 0, 0, 0], [4, 4, 4, 4, 4, 4]]"
0.0  ,"[[4, 4, 4, 4, 4, 4]]"
3.0  ,"[[0, 0, 0, 0, 4, 4], [4, 4, 4, 4, 4, 4]]"
3.0  ,"[[3, 3, 0, 0, 4, 4], [4, 4, 4, 4, 4, 4]]"
3.0  ,"[[0, 0, 0, 0, 4, 4], [4, 4, 4, 4, 4, 4]]"
3.0  ,"[[4, 4, 4, 4, 4, 4]]"
