bin_start,bin_end,repeat,low_confidence,blank
0.0,0.04,0.867700863456754,0.05195375384165081,0.0803453827015952
0.04,0.08,0.5470383275261324,0.033101045296167246,0.41986062717770034
0.08,0.12,0.5482115085536547,0.034992223950233284,0.416796267496112
0.12,0.16,0.40794223826714804,0.0210589651022864,0.5709987966305656
0.16,0.2,0.33303451367099957,0.013895114298520844,0.6530703720304796
0.2,0.24,0.28217999282897094,0.012190749372534958,0.7056292577984941
0.24,0.28,0.27311960542540076,0.006473489519112207,0.7204069050554871
0.28,0.32,0.3025160912814511,0.008191925102399064,0.6892919836161499
0.32,0.36,0.3149879775581085,0.005076142131979695,0.6799358803099118
0.36,0.4,0.3276907529055078,0.006568974229408792,0.6657402728650834
0.4,0.44,0.3418553688823959,0.0041392744095446795,0.6540053567080594
0.44,0.48,0.3580765639589169,0.005835667600373483,0.6360877684407096
0.48,0.52,0.3585382670650425,0.004366812227074236,0.6370949207078832
0.52,0.56,0.37840883479828713,0.0031552851025467656,0.6184358800991661
0.56,0.6,0.3779828905898244,0.003827104907699235,0.6181900045024764
0.6,0.64,0.37444184563044863,0.004677865192430364,0.620880289177121
0.64,0.68,0.35038200339558573,0.00466893039049236,0.6449490662139219
0.68,0.72,0.33256205300799324,0.006941522928060581,0.6604964240639462
0.72,0.76,0.2943722943722944,0.0037105751391465678,0.7019171304885591
0.76,0.8,0.238019801980198,0.007722772277227723,0.7542574257425743
0.8,0.84,0.17511432926829268,0.00743140243902439,0.817454268292683
0.84,0.88,0.11775735983498968,0.009000562535158447,0.8732420776298518
0.88,0.92,0.05497716894977169,0.015342465753424657,0.9296803652968036
0.92,0.96,0.02214960058097313,0.013616557734204794,0.9642338416848221
0.96,inf,0.008775595486836606,0.014625992478061012,0.9765984120351023
